,Unnamed: 0,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
0,0,0,2,male,22.0,1,0,7.25,0,S
1,1,1,0,female,38.0,1,0,71.2833,1,C
2,2,1,2,female,26.0,0,0,7.925,0,S
3,3,1,0,female,35.0,1,0,53.1,1,S
4,4,0,2,male,35.0,0,0,8.05,0,S
5,5,0,2,male,30.0,0,0,8.4583,0,Q
6,6,0,0,male,54.0,0,0,51.8625,1,S
7,7,0,2,male,2.0,3,1,21.075,0,S
8,8,1,2,female,27.0,0,2,11.1333,0,S
9,9,1,1,female,14.0,1,0,30.0708,0,C
10,10,1,2,female,4.0,1,1,16.7,1,S
11,11,1,0,female,58.0,0,0,26.55,1,S
12,12,0,2,male,20.0,0,0,8.05,0,S
13,13,0,2,male,39.0,1,5,31.275,0,S
14,14,0,2,female,14.0,0,0,7.8542,0,S
15,15,1,1,female,55.0,0,0,16.0,0,S
16,16,0,2,male,2.0,4,1,29.125,0,Q
17,17,1,1,male,30.0,0,0,13.0,0,S
18,18,0,2,female,31.0,1,0,18.0,0,S
19,19,1,2,female,35.0,0,0,7.225,0,C
20,20,0,1,male,35.0,0,0,26.0,0,S
21,21,1,1,male,34.0,0,0,13.0,1,S
22,22,1,2,female,15.0,0,0,8.0292,0,Q
23,23,1,0,male,28.0,0,0,35.5,1,S
24,24,0,2,female,8.0,3,1,21.075,0,S
25,25,1,2,female,38.0,1,5,31.3875,0,S
26,26,0,2,male,30.0,0,0,7.225,0,C
27,27,0,0,male,19.0,3,2,263.0,1,S
28,28,1,2,female,21.0,0,0,7.8792,0,Q
29,29,0,2,male,30.0,0,0,7.8958,0,S
30,30,0,0,male,40.0,0,0,27.7208,0,C
31,31,1,0,female,35.0,1,0,146.5208,1,C
32,32,1,2,female,21.0,0,0,7.75,0,Q
33,33,0,1,male,66.0,0,0,10.5,0,S
34,34,0,0,male,28.0,1,0,82.1708,0,C
35,35,0,0,male,42.0,1,0,52.0,0,S
36,36,1,2,male,30.0,0,0,7.2292,0,C
37,37,0,2,male,21.0,0,0,8.05,0,S
38,38,0,2,female,18.0,2,0,18.0,0,S
39,39,1,2,female,14.0,1,0,11.2417,0,C
40,40,0,2,female,40.0,1,0,9.475,0,S
41,41,0,1,female,27.0,1,0,21.0,0,S
42,42,0,2,male,30.0,0,0,7.8958,0,C
43,43,1,1,female,3.0,1,2,41.5792,0,C
44,44,1,2,female,19.0,0,0,7.8792,0,Q
45,45,0,2,male,30.0,0,0,8.05,0,S
46,46,0,2,male,30.0,1,0,15.5,0,Q
47,47,1,2,female,21.0,0,0,7.75,0,Q
48,48,0,2,male,30.0,2,0,21.6792,0,C
49,49,0,2,female,18.0,1,0,17.8,0,S
50,50,0,2,male,7.0,4,1,39.6875,0,S
51,51,0,2,male,21.0,0,0,7.8,0,S
52,52,1,0,female,49.0,1,0,76.7292,1,C
53,53,1,1,female,29.0,1,0,26.0,0,S
54,54,0,0,male,65.0,0,1,61.9792,1,C
55,55,1,0,male,30.0,0,0,35.5,1,S
56,56,1,1,female,21.0,0,0,10.5,0,S
57,57,0,2,male,28.5,0,0,7.2292,0,C
58,58,1,1,female,5.0,1,2,27.75,0,S
59,59,0,2,male,11.0,5,2,46.9,0,S
60,60,0,2,male,22.0,0,0,7.2292,0,C
61,61,0,0,male,45.0,1,0,83.475,1,S
62,62,0,2,male,4.0,3,2,27.9,0,S
63,63,0,0,male,30.0,0,0,27.7208,0,C
64,64,1,2,male,3.5,1,1,15.2458,0,C
65,65,1,1,female,29.0,0,0,10.5,1,S
66,66,0,2,male,19.0,0,0,8.1583,0,S
67,67,1,2,female,17.0,4,2,7.925,0,S
68,68,0,2,male,26.0,2,0,8.6625,0,S
69,69,0,1,male,32.0,0,0,10.5,0,S
70,70,0,2,female,16.0,5,2,46.9,0,S
71,71,0,1,male,21.0,0,0,73.5,0,S
72,72,0,2,male,26.0,1,0,14.4542,0,C
73,73,1,2,male,32.0,0,0,56.4958,0,S
74,74,0,2,male,25.0,0,0,7.65,1,S
75,75,0,2,male,30.0,0,0,7.8958,0,S
76,76,0,2,male,30.0,0,0,8.05,0,S
77,77,1,1,male,0.83,0,2,29.0,0,S
78,78,1,2,female,30.0,0,0,12.475,0,S
79,79,0,2,male,22.0,0,0,9.0,0,S
80,80,1,2,male,29.0,0,0,9.5,0,S
81,81,1,2,female,21.0,0,0,7.7875,0,Q
82,82,0,0,male,28.0,0,0,47.1,0,S
83,83,1,1,female,17.0,0,0,10.5,0,S
84,84,1,2,female,33.0,3,0,15.85,0,S
85,85,0,2,male,16.0,1,3,34.375,0,S
86,86,0,2,male,30.0,0,0,8.05,0,S
87,87,1,0,female,23.0,3,2,263.0,1,S
88,88,0,2,male,24.0,0,0,8.05,0,S
89,89,0,2,male,29.0,0,0,8.05,0,S
90,90,0,2,male,20.0,0,0,7.8542,0,S
91,91,0,0,male,46.0,1,0,61.175,1,S
92,92,0,2,male,26.0,1,2,20.575,0,S
93,93,0,2,male,59.0,0,0,7.25,0,S
94,94,0,2,male,30.0,0,0,8.05,0,S
95,95,0,0,male,71.0,0,0,34.6542,1,C
96,96,1,0,male,23.0,0,1,63.3583,1,C
97,97,1,1,female,34.0,0,1,23.0,0,S
98,98,0,1,male,34.0,1,0,26.0,0,S
99,99,0,2,female,28.0,0,0,7.8958,0,S
100,100,0,2,male,30.0,0,0,7.8958,0,S
